repo,commit,date,in_5day_window,role_in_diagnosis,visible_to_5day_analyst
jvector,11ea5b9e,2026-07-22,no,"L2 root cause: removed the getNodes(0) disk scan that also warmed page cache",no
jvector,a0c2e431,2026-07-27,no,"L1 root cause: full-precision cross-source search seeding",no
jvector,82f94697,2026-07-30,no,"G3 enabler: chunked the pre-encode cache past a 2 GiB cap",no
jvector,4c3b4e41,2026-08-05,no,"L1 root cause: pair-asymmetric cross-source linking = a graph SEARCH per base node",no
jvector,fb1607d7,2026-08-10,no,"G3 enabler: chunked the cross-link buffer past a 134M-node cap",no
jvector,711afea5,2026-08-12,no,"L2/G5: PQ retrain full k-means++ -> refine, removing another incidental cache warm",no
jvector,e4a10978,2026-08-19,YES,"compactor-assigned similarity ordinals",yes
jvector,0a0d8c62,2026-08-19,YES,"L1 root cause (1 of 3): introduces clusterSearchL0 -- where the cost is PAID",yes
jvector,985bfe1e,2026-08-19,YES,"G4: frontier + gather prefetch; covers 2 of 3 branches",yes
jvector,f347060a,2026-08-19,YES,"banded reverse-offer spill",yes
jvector,a7415c94,2026-08-19,YES,"allow a single source",yes
jvector,fc2028a0,2026-08-20,YES,"propagate reverse edges from selected neighbours only",yes
jvector,9901dbb0,2026-08-20,YES,"refresh strategy context after similarity-ordinal reassignment",yes
jvector,5088e04a,2026-08-21,YES,"caller-supplied ParallelExecutor",yes
jvector,4e8498f7,2026-08-21,YES,"caller-supplied CompactionDestination",yes
jvector,117e856f,2026-08-21,YES,"phase reporting via ProgressLimiter; tagged checkpoint/xlink-integration",yes
jvector,11cb4acf,2026-08-23,YES,"makes the above-RAM IO knobs reachable",yes
jvector,55a262a7,2026-08-23,YES,"windowed source pretouch",yes
jvector,d859893f,2026-08-24,YES,"cycle-5 arm: batch-hint the cluster-path rescore lists",yes
cassandra,6e1e437689,2026-07-27,no,"L4: reduced the merge path to upstream; upstream re-encodes every surviving node",no
cassandra,b5ac025689,2026-07-27,no,"L4: deleted 7 flags incl compaction_codebook_policy=adopt and the PQ code cache",no
cassandra,80064aa109,2026-08-23,YES,"L3 fix: FileHandleReaderSupplier -- makes prefetch hooks real",yes
